Down,Ydstogo,Line,Value
1,2,1,-1.704
1,3,1,-1.711
1,4,1,-1.719
1,5,1,-1.73
1,6,1,-1.744
1,7,1,-1.761
1,8,1,-1.783
1,9,1,-1.807
1,10,1,-1.833
1,11,1,-1.861
1,12,1,-1.89
1,13,1,-1.921
1,14,1,-1.951
1,15,1,-1.984
1,16,1,-2.015
1,17,1,-2.047
1,18,1,-2.082
1,19,1,-2.114
1,20,1,-2.146
1,21,1,-2.175
1,22,1,-2.203
1,23,1,-2.229
1,24,1,-2.254
1,25,1,-2.276
1,26,1,-2.297
1,27,1,-2.316
1,28,1,-2.333
1,29,1,-2.348
1,30,1,-2.362
1,31,1,-2.374
1,32,1,-2.386
1,33,1,-2.396
1,34,1,-2.406
1,35,1,-2.414
1,36,1,-2.422
1,37,1,-2.428
1,38,1,-2.433
1,39,1,-2.438
1,40,1,-2.441
1,41,1,-2.445
1,42,1,-2.448
1,43,1,-2.45
1,44,1,-2.452
1,45,1,-2.454
1,46,1,-2.456
1,47,1,-2.458
1,48,1,-2.459
1,49,1,-2.46
1,50,1,-2.461
1,51,1,-2.461
1,52,1,-2.462
1,53,1,-2.463
1,54,1,-2.463
1,55,1,-2.463
1,56,1,-2.464
1,57,1,-2.464
1,58,1,-2.464
1,59,1,-2.464
1,60,1,-2.465
1,61,1,-2.465
1,62,1,-2.465
1,63,1,-2.465
1,64,1,-2.465
1,65,1,-2.465
1,66,1,-2.465
1,67,1,-2.465
1,68,1,-2.465
1,69,1,-2.465
1,70,1,-2.465
1,71,1,-2.465
1,72,1,-2.466
1,73,1,-2.466
1,74,1,-2.466
1,75,1,-2.466
1,76,1,-2.466
1,77,1,-2.466
1,78,1,-2.466
1,79,1,-2.466
1,80,1,-2.466
1,81,1,-2.466
1,82,1,-2.466
1,83,1,-2.466
1,84,1,-2.466
1,85,1,-2.466
1,86,1,-2.466
1,87,1,-2.466
1,88,1,-2.466
1,89,1,-2.466
1,90,1,-2.466
1,91,1,-2.466
1,92,1,-2.466
1,93,1,-2.466
1,94,1,-2.466
1,95,1,-2.466
1,96,1,-2.466
1,97,1,-2.466
1,98,1,-2.466
1,99,1,-2.466
2,1,1,-1.764
2,2,1,-1.792
2,3,1,-1.82
2,4,1,-1.849
2,5,1,-1.883
2,6,1,-1.921
2,7,1,-1.964
2,8,1,-2.011
2,9,1,-2.058
2,10,1,-2.107
2,11,1,-2.155
2,12,1,-2.199
2,13,1,-2.244
2,14,1,-2.284
2,15,1,-2.324
2,16,1,-2.36
2,17,1,-2.394
2,18,1,-2.429
2,19,1,-2.458
2,20,1,-2.485
2,21,1,-2.508
2,22,1,-2.528
2,23,1,-2.547
2,24,1,-2.563
2,25,1,-2.577
2,26,1,-2.588
2,27,1,-2.599
2,28,1,-2.607
2,29,1,-2.615
2,30,1,-2.621
2,31,1,-2.627
2,32,1,-2.631
2,33,1,-2.635
2,34,1,-2.639
2,35,1,-2.642
2,36,1,-2.644
2,37,1,-2.646
2,38,1,-2.648
2,39,1,-2.649
2,40,1,-2.65
2,41,1,-2.651
2,42,1,-2.652
2,43,1,-2.652
2,44,1,-2.653
2,45,1,-2.653
2,46,1,-2.653
2,47,1,-2.654
2,48,1,-2.654
2,49,1,-2.654
2,50,1,-2.654
2,51,1,-2.654
2,52,1,-2.654
2,53,1,-2.654
2,54,1,-2.655
2,55,1,-2.655
2,56,1,-2.655
2,57,1,-2.655
2,58,1,-2.655
2,59,1,-2.655
2,60,1,-2.655
2,61,1,-2.655
2,62,1,-2.655
2,63,1,-2.655
2,64,1,-2.655
2,65,1,-2.655
2,66,1,-2.655
2,67,1,-2.655
2,68,1,-2.655
2,69,1,-2.655
2,70,1,-2.655
2,71,1,-2.655
2,72,1,-2.655
2,73,1,-2.655
2,74,1,-2.655
2,75,1,-2.655
2,76,1,-2.655
2,77,1,-2.655
2,78,1,-2.655
2,79,1,-2.655
2,80,1,-2.655
2,81,1,-2.655
2,82,1,-2.655
2,83,1,-2.655
2,84,1,-2.655
2,85,1,-2.655
2,86,1,-2.655
2,87,1,-2.655
2,88,1,-2.655
2,89,1,-2.655
2,90,1,-2.655
2,91,1,-2.655
2,92,1,-2.655
2,93,1,-2.655
2,94,1,-2.655
2,95,1,-2.655
2,96,1,-2.655
2,97,1,-2.655
2,98,1,-2.655
