"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",20.38913043,22.8515476942514,17.51,18.248651455256,18.4689004,18.99857,15.68989264,22.12238056,19.3225,21.66,21,9.614939278,25.79543,18.55,17.07024324,21,NA
"2",22.44873692,20.4956175298805,19.08,19.9869140957707,18.9722339,27.33859,17.71290336,23.86012024,19.60786,23.35,21,13.3165761,17.20457,20.4,20.22987457,22,NA
"3",18.86660262,22.8515476942514,19.2,20.1195168341408,21.15805217,15.59624,17.09656004,20.91240613,20.16801,23.072,19,11.09010319,21.31334,21.03,19.58276753,21,NA
"4",18.62544715,20.6259668508287,18.05,19.7098485832423,18.53792233,24.04778,22.37612751,21.85478834,21.03658,22.261,20,12.15219821,22.85236,20.78,20.45833039,22,NA
"5",18.35070186,20.6259668508287,15.47,16.2826431319178,18.37415979,20.05924,19.81868393,20.10952751,19.24002,19.994,18,12.33235254,19.83431,18.04,16.43670536,22,NA
"6",22.61799838,22.8515476942514,20.16,21.5772426147406,20.54798724,19.30332,21.84379629,25.3007143,19.60786,23.509,23,9.244974288,23,21.09,21.41867128,22,NA
"7",17.90870724,22.8515476942514,20.76,20.951086124893,21.31407919,23.07075,18.95277195,22.15086923,20.43768,24.586,19,13.57299059,22.52548,21.14,22.64525366,22,NA
"8",21.05664361,22.8515476942514,18.22,19.0871374486804,21.01932199,18.42655,20.55683716,21.27648229,20.29253,22.461,21,13.98954064,24.54702,19.77,18.53269849,22,NA
"9",19.98915585,18.4208308248043,17.29,18.5818603085602,18.23573453,16.94159,16.2781617,22.94970971,19.24002,21.904,20,9.095748039,22.11904,17.87,18.00622614,21,NA
"10",19.8810828,22.8515476942514,18.66,19.2287426321311,20.38367777,18.46627,17.74394103,22.48740144,19.3225,23.021,21,5.618647418,19.80846,20.91,18.13497036,22,NA
"11",18.73620051,22.8515476942514,19.05,20.1122443566956,22.23050149,12.76886,18.59963235,21.68011816,19.24002,22.247,20,13.02184592,19.63929,19.91,18.55479221,22,NA
"12",22.5491631,22.8515476942514,19.27,20.8031249643731,20.64740234,19.86131,20.05514103,24.93637381,19.60786,23.25,23,12.55170752,19.10408,21.32,20.43917334,22,NA
"13",17.03596837,22.8515476942514,22.09,21.9044414350597,21.73399216,27.94092,19.46207975,20.7934117,21.11521,23.933,19,10.90958797,22.45197,22.77,21.31542656,21,NA
"14",18.26504193,18.4208308248043,16.79,17.9002506293855,18.81296027,17.25001,17.03174506,22.56243371,19.24002,21.908,21,10.23109692,18.0321,18.48,16.97666552,22,NA
"15",21.93868401,20.4956175298805,15.25,16.8264017359976,19.84576481,26.63167,19.46207975,23.80188546,19.24002,20.829,23,9.692602786,26.77257,17.27,16.601459,21,NA
"16",18.0238047,20.6259668508287,18.39,19.7099216882098,20.32228763,22.04258,16.23449839,22.8152578,21.03658,21.867,20,11.22091706,17.70109,19.64,18.40688426,22,NA
"17",19.68824097,20.6259668508287,17.5,18.4775154173287,19.09244576,20.21489,19.00874465,22.21638174,21.03658,21.231,21,8.887039918,22.73992,19.35,18.28745891,21,NA
"18",18.39174033,22.8515476942514,18.38,18.9508859639831,20.736416,17.92044,17.96265083,21.63191001,19.24002,22.332,21,6.805460763,16.37824,18.93,18.2080561,22,NA
"19",22.73730222,22.8515476942514,20.38,21.0409259173127,20.35603261,18.96254,19.97933899,22.45062892,21.16915,23.824,22,11.48506494,16.34994,23.32,21.23935701,21,NA
"20",21.50668738,22.8515476942514,18.24,18.5221118078726,21.21036278,23.82501,18.967368,24.04690065,20.29253,22.996,22,13.08978328,15.83081,19.55,19.09817934,22,NA
"21",18.12488877,22.8515476942514,19.91,20.4192911028939,20.83422816,31.59445,16.58315855,23.1581827,19.60786,22.8,20,11.14676794,20.26146,21.22,19.3388972,22,NA
"22",19.59974393,22.8515476942514,17.66,18.1496406050097,19.8131315,24.95018,17.96265083,22.31829305,19.3225,21.808,23,12.14750182,20.40815,20.88,19.66071776,21,NA
"23",19.18805297,20.6259668508287,18.39,19.6739580740914,18.23230861,22.30453,19.73053884,21.06017863,21.03658,22.631,20,11.3636014,21.10918,21.34,19.97574299,22,NA
"24",19.95558105,20.6259668508287,17.51,18.5901337274472,20.67077195,33.52424,19.47585454,23.63519093,19.24002,22.237,23,8.642915429,19.20606,19.58,18.29851768,22,NA
"25",19.56791973,22.8515476942514,19.15,19.6391773922286,19.78774554,18.90427,22.35888548,20.97606652,20.29253,22.852,22,10.60980336,21.01515,20.84,18.43183988,22,NA
"26",17.4419783,22.8515476942514,20.41,20.9494629494069,21.03820435,23.79574,20.93170913,20.75256207,19.60786,23.426,20,12.60386312,17.56117,21.37,19.37355407,22,NA
"27",20.21724965,22.8515476942514,18.01,19.3723234720539,20.16553416,18.1375,21.11492659,22.01969904,19.60786,22.252,21,13.37824261,19.78053,19.48,18.53076507,23,NA
"28",18.27228949,20.4956175298805,18.47,19.8857903024701,19.09636211,17.64923,19.78021771,21.6670416,19.24002,22.665,19,8.975977951,20.62122,19.06,19.33270281,22,NA
"29",19.25732163,22.8515476942514,19.19,20.7055308996485,21.68591493,23.9156,20.18160699,24.97344631,19.60786,22.199,22,13.81900387,19.93982,21.82,17.96459088,22,NA
"30",21.25880987,20.4956175298805,18.4,19.7129117544208,20.49946136,23.4867,18.99779203,23.01635043,19.60786,22.965,23,9.341896075,20.15,19.65,18.08675154,22,NA
"31",19.48602989,20.6259668508287,17.09,18.3095105210186,19.81654683,17.15858,16.90664813,22.72583062,19.24002,21.762,20,14.24285014,14.43298,18.12,18.66657281,22,NA
"32",17.17617116,22.8515476942514,18.51,20.094033969201,19.4171784,21.5193,20.18160699,23.29595065,19.3225,22.141,20,8.947599231,14.51427,18.82,19.29085142,21,NA
"33",21.52760867,20.4956175298805,18.56,18.7199444670785,21.03910323,27.0364,21.97397146,21.45756441,19.3225,21.876,23,10.20493174,19.89674,19.7,18.46597743,22,NA
"34",19.66262325,22.8515476942514,19.37,20.5286030889366,20.11708922,20.72701,19.8283399,20.92897896,19.60786,22.816,22,12.69453092,16.10326,21.24,19.40989694,22,NA
"35",16.29881046,22.8515476942514,18.14,18.9793226008324,20.87323882,29.55184,23.75172034,23.25918465,19.24002,22.343,19,11.80187199,22.66154,20.2,19.03741202,22,NA
"36",20.1486224,22.8515476942514,19.83,20.0222202961766,21.85979038,15.92254,21.0652442,22.89778448,19.60786,23.056,22,12.19088989,17.51627,20.21,19.70958023,22,NA
"37",20.73448797,22.8515476942514,17.92,18.8081359503243,19.77039233,23.89739,22.19214328,24.67641636,21.03658,22.034,23,18.92637082,19.20263,19.95,18.36756021,22,NA
"38",16.67958513,22.8515476942514,19.95,21.5408789897406,18.09695518,22.25844,24.90966743,22.36616255,19.60786,22.646,22,14.80375553,21.54915,22.36,19.19854734,21,NA
"39",20.23432357,20.6259668508287,16.81,17.681642289945,19.36497541,34.66354,19.11146999,21.52591701,19.24002,20.805,21,10.12579738,18.07041,18.52,17.20575237,22,NA
"40",21.14666164,20.6259668508287,19.03,19.4676732501762,20.22489003,26.41515,18.53507568,20.72017126,21.03658,22.998,20,10.40116304,19.88873,21.35,19.89551194,22,NA
