Week,Home,Away,Total Points,Spread,Total Passing Yards
7, Cincinnati Bengals, Pittsburgh Steelers,64,2,577
7, Jacksonville Jaguars, Los Angeles Rams,42,-28,446
7, New York Jets, Carolina Panthers,19,-7,316
7, Kansas City Chiefs, Las Vegas Raiders,31,31,352
7, Cleveland Browns, Miami Dolphins,37,25,222
7, Tennessee Titans, New England Patriots,44,-18,428
7, Chicago Bears, New Orleans Saints,40,12,373
7, Minnesota Vikings, Philadelphia Eagles,50,-6,614
7, Los Angeles Chargers, Indianapolis Colts,62,-14,672
7, Denver Broncos, New York Giants,64,2,533
7, Arizona Cardinals, Green Bay Packers,50,-4,404
7, Dallas Cowboys, Washington Commanders,66,22,462
7, San Francisco 49ers, Atlanta Falcons,30,10,380
7, Detroit Lions, Tampa Bay Buccaneers,33,15,425
7, Seattle Seahawks, Houston Texans,46,8,396
8, Los Angeles Chargers, Minnesota Vikings,,,
8, Carolina Panthers, Buffalo Bills,,,
8, Baltimore Ravens, Chicago Bears,,,
8, New England Patriots, Cleveland Browns,,,
8, Atlanta Falcons, Miami Dolphins,,,
8, Philadelphia Eagles, New York Giants,,,
8, Cincinnati Bengals, New York Jets,,,
8, Houston Texans, San Francisco 49ers,,,
8, New Orleans Saints, Tampa Bay Buccaneers,,,
8, Denver Broncos, Dallas Cowboys,,,
8, Indianapolis Colts, Tennessee Titans,,,
8, Pittsburgh Steelers, Green Bay Packers,,,
8, Kansas City Chiefs, Washington Commanders,,,
9, Miami Dolphins, Baltimore Ravens,,,
9, New England Patriots, Atlanta Falcons,,,
9, Green Bay Packers, Carolina Panthers,,,
9, Cincinnati Bengals, Chicago Bears,,,
9, Houston Texans, Denver Broncos,,,
9, Pittsburgh Steelers, Indianapolis Colts,,,
9, Tennessee Titans, Los Angeles Chargers,,,
9, Detroit Lions, Minnesota Vikings,,,
9, New York Giants, San Francisco 49ers,,,
9, Las Vegas Raiders, Jacksonville Jaguars,,,
9, Los Angeles Rams, New Orleans Saints,,,
9, Buffalo Bills, Kansas City Chiefs,,,
9, Washington Commanders, Seattle Seahawks,,,
9, Dallas Cowboys, Arizona Cardinals,,,
10, Denver Broncos, Las Vegas Raiders,,,
10, Indianapolis Colts, Atlanta Falcons,,,
10, Minnesota Vikings, Baltimore Ravens,,,
10, Miami Dolphins, Buffalo Bills,,,
10, New York Jets, Cleveland Browns,,,
10, Houston Texans, Jacksonville Jaguars,,,
10, Tampa Bay Buccaneers, New England Patriots,,,
10, Carolina Panthers, New Orleans Saints,,,
10, Chicago Bears, New York Giants,,,
10, Seattle Seahawks, Arizona Cardinals,,,
10, Washington Commanders, Detroit Lions,,,
10, San Francisco 49ers, Los Angeles Rams,,,
10, Los Angeles Chargers, Pittsburgh Steelers,,,
10, Green Bay Packers, Philadelphia Eagles,,,
11, New England Patriots, New York Jets,,,
11, Miami Dolphins , Washington Commanders,,,
11, Atlanta Falcons, Carolina Panthers,,,
11, Minnesota Vikings, Chicago Bears,,,
11, Pittsburgh Steelers, Cincinnati Bengals,,,
11, New York Giants, Green Bay Packers,,,
11, Tennessee Titans, Houston Texans,,,
11, Jacksonville Jaguars, Los Angeles Chargers,,,
11, Buffalo Bills, Tampa Bay Buccaneers,,,
11, Arizona Cardinals, San Francisco 49ers,,,
11, Los Angeles Rams, Seattle Seahawks,,,
11, Cleveland Browns, Baltimore Ravens,,,
11, Denver Broncos, Kansas City Chiefs,,,
11, Philadelphia Eagles, Detroit Lions,,,
11, Las Vegas Raiders, Dallas Cowboys,,,
