,Date,Away,Home,Actual,Spread_1,Spread_2,Spread_3,Spread_4,Spread_5,Spread_6,Spread_7,Spread_8,Spread_9,Spread_10,Spread_11,Spread_12,Spread_13,Spread_14,Spread_CV
1,3/7/2025,Cleveland Cavaliers,Charlotte Hornets,-1,-13,-2.056001186,-17.18,-9.48,-14.49328736,-28.907691,-12.5219565,-9.2554,-9.78,-30.48104845,-16.76474849,NA,-15.30476918,-11,-20
2,3/7/2025,Memphis Grizzlies,Dallas Mavericks,-11,-7,1.009950519,-9.33,-5.85,3.058359292,3.525073528,1.092342105,-2.020933333,-1.82,-1.653696876,-1.154166282,NA,-5.0119541,-6,-9
3,3/7/2025,Utah Jazz,Toronto Raptors,9,-4,-3.846432447,-0.59,-2.19,2.380206487,2.061156034,-0.269129348,-2.658633333,0.82,-4.079611418,-0.920691355,NA,1.571267729,8,-4
4,3/7/2025,Minnesota Timberwolves,Miami Heat,-2,-2,6.065942287,-1.7,2.05,-0.611541389,0.992183089,-2.953187998,-1.8372,-2.33,3.300295858,-3.623734042,NA,7.239059236,-5,-7
5,3/7/2025,Portland Trail Blazers,Oklahoma City Thunder,18,12,7.374955177,12.04315948,19.01,10.27644118,11.53448963,17.20730314,17.89666667,9.32,15.69100947,20.90237807,NA,21.92621086,20,13
6,3/7/2025,Phoenix Suns,Denver Nuggets,8,19,2.575308084,8.536453247,12.31,8.812006752,9.739768982,9.855743156,13.77706667,3.65,9.251376855,9.713162709,NA,8.624719688,7,8
7,3/7/2025,San Antonio Spurs,Sacramento Kings,18,3,3.607291937,5.062614441,9.07,2.159643527,5.413080692,4.736096984,2.771566667,1.47,22.53031056,7.526698228,NA,9.642457681,6,-2
8,3/7/2025,New York Knicks,Los Angeles Clippers,10,4,2.80683136,-3.51,1.23,2.060974364,3.73562336,2.106298829,-3.54,-0.79,14.37151742,-1.855353304,NA,-4.593971761,6,-9
9,3/8/2025,Brooklyn Nets,Charlotte Hornets,3,-7,-3.04433918,-1.85,-9.54,-2.596995221,-13.60111535,-3.308413265,-4.6201,-0.88,-13.75544899,0.2198123,NA,1.205533183,4,-7
10,3/8/2025,New Orleans Pelicans,Houston Rockets,29,20,3.191308498,3.043655396,17.94,7.964588828,10.23261166,13.76977216,12.33626667,6.23,8.049042935,0.181055837,NA,9.642457681,18,8
11,3/8/2025,Indiana Pacers,Atlanta Hawks,2,-5,0.749595582,4.635856628,-5.24,-0.494505367,-1.041592717,-1.417068294,-2.142566667,-2.05,1.129597704,2.469627051,NA,-0.361900586,3,1
12,3/8/2025,Washington Wizards,Toronto Raptors,-1,12,-3.244939804,7.221366882,22.24,1.405731807,2.570192575,3.363160086,-0.3881,1.93,4.966902892,5.682347202,NA,5.176365397,15,11
13,3/8/2025,Chicago Bulls,Miami Heat,-5,-5,6.406327724,-7.06,-6.53,5.325980766,5.991573811,0.307512983,2.325933333,0.93,1.821401027,-4.318053087,NA,-4.228237215,9,-11
14,3/8/2025,Orlando Magic,Milwaukee Bucks,-2,13,0.583701909,14.54367065,10.38,3.67016024,4.733539104,7.076840115,4.478833333,2,-7.922394009,11.07820382,NA,8.154489557,-2,19
