"","Date","Away","Home","Actual","Total_1","Total_2","Total_3","Total_4","Total_5","Total_6","Total_7","Total_8","Total_9","Total_10","Total_11","Total_12","Total_13","Total_14","Total_CV"
"1","3/7/2025","Cleveland Cavaliers","Charlotte Hornets",235,229,221.690322875977,227.9605637,229.49,229.746582898784,219.8934021,224.323985954936,228.6372667,229.19,225.7999901,207.9234417,223,227.6720333,231,228
"2","3/7/2025","Memphis Grizzlies","Dallas Mavericks",233,239,235.986175537109,236.1302185,231.66,229.911428398884,236.1754608,237.46363201188,243.2301,238.45,242.4667869,210.2761781,218,236.9942667,222,233
"3","3/7/2025","Utah Jazz","Toronto Raptors",227,232,227.393707275391,225.2747192,238.56,240.598055913446,233.641922,227.311910344925,240.0239333,221.46,218.6359648,221.0289094,221,225.4725667,243,222
"4","3/7/2025","Minnesota Timberwolves","Miami Heat",210,221,219.183883666992,225.4705048,197.71,221.185735372537,216.5418091,216.459048252181,231.0691667,221.41,231.2380971,202.2253398,229,225.0797667,218,203
"5","3/7/2025","Portland Trail Blazers","Oklahoma City Thunder",196,226,224.100204467773,230.3572311,232.2,224.96693960076,231.7189331,225.286374583674,236.2547667,228.81,244.29159,211.7554287,228,229.1802,220,237
"6","3/7/2025","Phoenix Suns","Denver Nuggets",290,245,226.499572753906,237.7202148,230.6,235.58913205963,239.5027618,237.7248991,240.3605333,235.55,255.9632532,216.3565222,231,236.0881667,200,226
"7","3/7/2025","San Antonio Spurs","Sacramento Kings",236,234,233.127136230469,227.2526321,235.55,231.043125732047,228.0257111,230.645441610756,241.9044333,229.67,240.6690741,221.9119217,230,232.4328667,256,237
"8","3/7/2025","New York Knicks","Los Angeles Clippers",200,230,219.901626586914,228.0394363,228.02,231.33457690516,214.402359,223.237091890277,230.9155667,228.15,229.3913359,213.9377946,223,228.6777667,263,232
"9","3/8/2025","Brooklyn Nets","Charlotte Hornets",207,206,212.421585083008,213.4176331,225.24,214.849480076127,213.366272,210.874186225783,211.7323333,208.85,202.6277524,216.6137799,223,208.0184,209,204
"10","3/8/2025","New Orleans Pelicans","Houston Rockets",263,210,222.105575561523,218.2211456,229.95,220.196222926738,226.8464203,223.700811199161,225.2247,223.38,213.0329993,206.3824547,237,224.3586667,210,233
"11","3/8/2025","Indiana Pacers","Atlanta Hawks",238,237,229.043319702148,231.6911087,249.16,242.144559860352,242.0772247,238.07179637295,242.5373667,233.48,232.5894506,220.6603102,227,235.3703667,234,251
"12","3/8/2025","Washington Wizards","Toronto Raptors",235,225,227.988586425781,216.2835159,203.28,226.317817427222,228.2069244,226.32962900306,235.5493,218.46,205.8357921,220.4321601,228,216.0836,252,203
"13","3/8/2025","Chicago Bulls","Miami Heat",223,233,223.055923461914,229.5952911,240.2,229.614473354365,224.609787,229.049272439328,236.9985667,227.12,239.4721897,205.3451543,217,229.2269,231,235
"14","3/8/2025","Orlando Magic","Milwaukee Bucks",220,213,218.92594909668,221.4698944,226.67,212.095984269869,213.1734009,214.870947193791,226.943,217.74,218.1741722,207.4520546,222,217.8612,217,225
"15","3/8/2025","Los Angeles Lakers","Boston Celtics",212,230,221.464797973633,227.2759399,218.18,221.781961373107,223.9282837,219.988893757814,232.9292,230.29,232.2970484,213.6016874,226,230.3077,221,226
"16","3/8/2025","Detroit Pistons","Golden State Warriors",225,219,222.524627685547,228.4202042,214.74,226.471789339038,234.7824554,225.126050292156,235.8446,223.7,250.2412114,220.7766911,227,229.8867333,221,232
"17","3/9/2025","Denver Nuggets","Oklahoma City Thunder",230,239,224.219848632812,239.7407608,224.51,223.446706018313,245.1601868,234.39462214887,243.5876,240.84,252.5934635,206.4844704,230,241.8995,208,233
"18","3/9/2025","Phoenix Suns","Dallas Mavericks",241,237,228.741653442383,228.6304169,234.01,227.200888058915,238.4972839,228.808171065853,233.5779667,229.23,246.4721334,218.6040051,225,230.8410667,237,211
"19","3/9/2025","Cleveland Cavaliers","Milwaukee Bucks",212,241,224.743896484375,241.4250717,217.56,222.248322520367,230.4295044,232.7247734,243.4041333,235.58,237.6145634,205.1439194,225,237.3027333,214,243
"20","3/9/2025","Memphis Grizzlies","New Orleans Pelicans",211,234,231.662460327148,235.303421,233.5,226.3571813565,239.1581116,238.107876959278,250.6275,234.94,244.8119685,202.7164681,225,233.8635333,229,244
"21","3/9/2025","Utah Jazz","Philadelphia 76ers",248,232,221.828964233398,222.9492874,228.9,227.615189934906,229.7406616,226.113045487989,238.1942,220.9,230.6297572,219.8540208,220,224.4664667,229,224
"22","3/9/2025","San Antonio Spurs","Minnesota Timberwolves",265,225,228.670669555664,222.9656219,221.06,218.8896915439,216.4864349,220.892048112536,229.7155333,222.44,232.1241128,215.6130445,225,227.5218,219,222
"23","3/9/2025","Detroit Pistons","Portland Trail Blazers",231,227,224.291412353516,228.0168915,225.28,224.400020162333,230.5861816,224.03398995789,237.1185333,222.95,253.9411849,217.4629017,224,227.0243333,253,235
"24","3/9/2025","Sacramento Kings","Los Angeles Clippers",221,228,223.75895690918,228.5912094,225.17,217.658624764443,217.7184448,225.151603104834,236.4966667,227.94,237.7399736,215.1129916,229,229.0213,229,214
"25","3/10/2025","Philadelphia 76ers","Atlanta Hawks",255,232,226.428619384766,226.4667358,254.62,243.95333831532,222.3835144,231.096848889641,234.6293,226.3,216.1379227,221.0223007,227,229.0614333,270,230
"26","3/10/2025","Utah Jazz","Boston Celtics",222,235,224.998489379883,231.3885269,224.44,232.561721759707,231.7680206,225.679280902201,242.6634,229.05,232.7075734,217.3485578,219,230.7561,227,230
"27","3/10/2025","Los Angeles Lakers","Brooklyn Nets",219,213,215.973968505859,213.6294785,207.49,216.78859656824,221.2931824,215.042551327686,207.8098667,217.57,211.0905775,216.0798034,228,216.0974,220,214
"28","3/10/2025","Charlotte Hornets","Miami Heat",207,214,214.597854614258,216.7886124,217.22,218.604059244837,201.9174194,215.137551794117,223.7818333,215.09,200.7705701,205.8913411,220,215.7163,191,206
"29","3/10/2025","Washington Wizards","Toronto Raptors",223,225,227.988586425781,216.2835159,203.28,226.317817427222,228.2069244,226.32962900306,235.3800333,218.46,205.8357921,220.4321601,228,216.0836,252,203
"30","3/10/2025","Indiana Pacers","Chicago Bulls",224,238,231.550750732422,229.7234268,216.03,238.202155339354,244.589386,238.5369186885,242.7508667,233.1,253.8394335,215.7329497,218,235.8535,224,238
"31","3/10/2025","Orlando Magic","Houston Rockets",181,197,214.924758911133,214.980957,228.67,217.666365971101,212.5944672,208.624675236556,208.4483667,216.65,204.3247027,210.8215095,225,217.7505667,221,216
"32","3/10/2025","Phoenix Suns","Memphis Grizzlies",238,243,231.687515258789,237.9150848,230.14,246.06737022357,257.8039856,237.476410012671,237.0421,236.9,284.7327393,219.3494088,218,239.4947,198,247
"33","3/10/2025","Denver Nuggets","Oklahoma City Thunder",267,239,224.219848632812,239.7407608,224.51,223.446706018313,245.1601868,234.39462214887,243.4669667,240.84,252.5934635,206.4844704,230,241.8995,208,233
"34","3/10/2025","Dallas Mavericks","San Antonio Spurs",262,231,230.865463256836,230.7773972,227.65,228.351822199533,225.1876678,228.016155051085,240.3546667,226.81,214.6018899,215.4575881,225,229.4546667,217,216
