Date,Away,Home,Spread,Total,OREB
4/9/2024,Dallas Mavericks,Charlotte Hornets,,,
4/9/2024,Detroit Pistons,Philadelphia 76ers,,,
4/9/2024,Indiana Pacers,Toronto Raptors,,,
4/9/2024,Miami Heat,Atlanta Hawks,,,
4/9/2024,Boston Celtics,Milwaukee Bucks,,,
4/9/2024,New York Knicks,Chicago Bulls,,,
4/9/2024,Orlando Magic,Houston Rockets,,,
4/9/2024,San Antonio Spurs,Memphis Grizzlies,,,
4/9/2024,Washington Wizards,Minnesota Timberwolves,,,
4/9/2024,Sacramento Kings,Oklahoma City Thunder,,,
4/9/2024,Denver Nuggets,Utah Jazz,,,
4/9/2024,Golden State Warriors,Los Angeles Lakers,,,
4/9/2024,Los Angeles Clippers,Phoenix Suns,,,
4/9/2024,New Orleans Pelicans,Portland Trail Blazers,,,
4/10/2024,Memphis Grizzlies,Cleveland Cavaliers,,,
4/10/2024,Charlotte Hornets,Atlanta Hawks,,,
4/10/2024,Toronto Raptors,Brooklyn Nets,,,
4/10/2024,Dallas Mavericks,Miami Heat,,,
4/10/2024,Orlando Magic,Milwaukee Bucks,,,
4/10/2024,San Antonio Spurs,Oklahoma City Thunder,,,
4/10/2024,Minnesota Timberwolves,Denver Nuggets,,,
4/10/2024,Phoenix Suns,Los Angeles Clippers,,,
4/11/2024,Chicago Bulls,Detroit Pistons,,,
4/11/2024,New York Knicks,Boston Celtics,,,
4/11/2024,Houston Rockets,Utah Jazz,,,
4/11/2024,Golden State Warriors,Portland Trail Blazers,,,
4/11/2024,New Orleans Pelicans,Sacramento Kings,,,
4/12/2024,Orlando Magic,Philadelphia 76ers,,,
4/12/2024,Chicago Bulls,Washington Wizards,,,
4/12/2024,Charlotte Hornets,Boston Celtics,,,
4/12/2024,Indiana Pacers,Cleveland Cavaliers,,,
4/12/2024,Brooklyn Nets,New York Knicks,,,
4/12/2024,Los Angeles Lakers,Memphis Grizzlies,,,
4/12/2024,Toronto Raptors,Miami Heat,,,
4/12/2024,Atlanta Hawks,Minnesota Timberwolves,,,
4/12/2024,Milwaukee Bucks,Oklahoma City Thunder,,,
4/12/2024,Denver Nuggets,San Antonio Spurs,,,
4/12/2024,Detroit Pistons,Dallas Mavericks,,,
4/12/2024,New Orleans Pelicans,Golden State Warriors,,,
4/12/2024,Houston Rockets,Portland Trail Blazers,,,
4/12/2024,Utah Jazz,Los Angeles Clippers,,,
4/12/2024,Phoenix Suns,Sacramento Kings,,,
4/14/2024,Washington Wizards,Boston Celtics,,,
4/14/2024,Charlotte Hornets,Cleveland Cavaliers,,,
4/14/2024,Atlanta Hawks,Indiana Pacers,,,
4/14/2024,Toronto Raptors,Miami Heat,,,
4/14/2024,Chicago Bulls,New York Knicks,,,
4/14/2024,Milwaukee Bucks,Orlando Magic,,,
4/14/2024,Brooklyn Nets,Philadelphia 76ers,,,
4/14/2024,Utah Jazz,Golden State Warriors,,,
4/14/2024,Houston Rockets,Los Angeles Clippers,,,
4/14/2024,Denver Nuggets,Memphis Grizzlies,,,
4/14/2024,Phoenix Suns,Minnesota Timberwolves,,,
4/14/2024,Los Angeles Lakers,New Orleans Pelicans,,,
4/14/2024,Dallas Mavericks,Oklahoma City Thunder,,,
4/14/2024,Portland Trail Blazers,Sacramento Kings,,,
4/14/2024,Detroit Pistons,San Antonio Spurs,,,
