Date,Away,Home,Spread,Total,OREB
4/4/2023,Toronto Raptors,Charlotte Hornets,-20,220,16
4/4/2023,Milwaukee Bucks,Washington Wizards,-12,268,21
4/4/2023,Cleveland Cavaliers,Orlando Magic,-4,230,18
4/4/2023,Miami Heat,Detroit Pistons,-13,223,11
4/4/2023,Minnesota Timberwolves,Brooklyn Nets,-5,209,14
4/4/2023,Denver Nuggets,Houston Rockets,21,227,33
4/4/2023,Portland Trail Blazers,Memphis Grizzlies,10,228,21
4/4/2023,Sacramento Kings,New Orleans Pelicans,-18,224,20
4/4/2023,Boston Celtics,Philadelphia 76ers,2,204,19
4/4/2023,Atlanta Hawks,Chicago Bulls,-18,228,13
4/4/2023,Los Angeles Lakers,Utah Jazz,-2,268,18
4/4/2023,Oklahoma City Thunder,Golden State Warriors,11,261,32
4/4/2023,San Antonio Spurs,Phoenix Suns,21,209,24
4/5/2023,Brooklyn Nets,Detroit Pistons,-15,231,20
4/5/2023,New York Knicks,Indiana Pacers,-9,267,30
4/5/2023,Washington Wizards,Atlanta Hawks,18,250,24
4/5/2023,Toronto Raptors,Boston Celtics,4,190,24
4/5/2023,Chicago Bulls,Milwaukee Bucks,13,197,18
4/5/2023,Memphis Grizzlies,New Orleans Pelicans,7,269,23
4/5/2023,Sacramento Kings,Dallas Mavericks,4,242,29
4/5/2023,Los Angeles Lakers,Los Angeles Clippers,7,243,15
4/6/2023,Cleveland Cavaliers,Orlando Magic,-24,212,18
4/6/2023,Miami Heat,Philadelphia 76ers,-28,230,13
4/6/2023,Portland Trail Blazers,San Antonio Spurs,2,256,26
4/6/2023,Oklahoma City Thunder,Utah Jazz,-16,212,24
4/6/2023,Denver Nuggets,Phoenix Suns,4,234,16
4/7/2023,Houston Rockets,Charlotte Hornets,-3,221,21
4/7/2023,Miami Heat,Washington Wizards,6,222,26
4/7/2023,Detroit Pistons,Indiana Pacers,-7,237,19
4/7/2023,Orlando Magic,Brooklyn Nets,17,185,25
4/7/2023,Toronto Raptors,Boston Celtics,19,223,25
4/7/2023,Philadelphia 76ers,Atlanta Hawks,-5,267,17
4/7/2023,Memphis Grizzlies,Milwaukee Bucks,-23,251,22
4/7/2023,New York Knicks,New Orleans Pelicans,8,218,11
4/7/2023,Chicago Bulls,Dallas Mavericks,-3,227,15
4/7/2023,Golden State Warriors,Sacramento Kings,-22,216,28
4/7/2023,Phoenix Suns,Los Angeles Lakers,14,228,23
4/8/2023,Denver Nuggets,Utah Jazz,4,232,22
4/8/2023,Portland Trail Blazers,Los Angeles Clippers,-89,161,20
4/8/2023,Minnesota Timberwolves,San Antonio Spurs,-20,282,21
4/9/2023,Atlanta Hawks,Boston Celtics,6,234,28
4/9/2023,Philadelphia 76ers,Brooklyn Nets,-29,239,23
4/9/2023,Detroit Pistons,Chicago Bulls,22,184,26
4/9/2023,Charlotte Hornets,Cleveland Cavaliers,-11,201,21
4/9/2023,Orlando Magic,Miami Heat,13,233,20
4/9/2023,Indiana Pacers,New York Knicks,-5,277,27
4/9/2023,Milwaukee Bucks,Toronto Raptors,16,226,14
4/9/2023,Houston Rockets,Washington Wizards,-5,223,26
4/9/2023,San Antonio Spurs,Dallas Mavericks,-21,255,21
4/9/2023,Sacramento Kings,Denver Nuggets,14,204,25
4/9/2023,Utah Jazz,Los Angeles Lakers,11,245,17
4/9/2023,New Orleans Pelicans,Minnesota Timberwolves,5,221,19
4/9/2023,Memphis Grizzlies,Oklahoma City Thunder,15,215,19
4/9/2023,Los Angeles Clippers,Phoenix Suns,-5,233,26
4/9/2023,Golden State Warriors,Portland Trail Blazers,-56,258,15
