Date,Home Team,Visitor Team,Home Score,Visitor Score,Location,Season,Season Type,Spread,Total,Result
9/3/2015,North Carolina,South Carolina,13,17,Neutral,2015-16,Regular,-4,30,L
9/3/2015,Central Michigan,Oklahoma State,13,24,Visitor,2015-16,Regular,-11,37,L
9/3/2015,Utah,Michigan,24,17,Visitor,2015-16,Regular,7,41,W
9/3/2015,Minnesota,TCU,17,23,Visitor,2015-16,Regular,-6,40,L
9/3/2015,Hawaii,Colorado,28,20,Visitor,2015-16,Regular,8,48,W
9/3/2015,Vanderbilt,Western Kentucky,12,14,Visitor,2015-16,Regular,-2,26,L
9/3/2015,Wake Forest,Elon,41,3,Visitor,2015-16,Regular,38,44,W
9/3/2015,Georgia Tech,Alcorn State,69,6,Visitor,2015-16,Regular,63,75,W
9/3/2015,Connecticut,Villanova,20,15,Visitor,2015-16,Regular,5,35,W
9/3/2015,San Jose State,New Hampshire,43,13,Visitor,2015-16,Regular,30,56,W
9/3/2015,Fresno State,Abilene Christian,34,13,Visitor,2015-16,Regular,21,47,W
9/3/2015,Tulane,Duke,7,37,Visitor,2015-16,Regular,-30,44,L
9/3/2015,Ball State,VMI,48,36,Visitor,2015-16,Regular,12,84,W
9/3/2015,Utah State,Southern Utah,12,9,Visitor,2015-16,Regular,3,21,W
9/3/2015,Nevada,UC Davis,31,17,Visitor,2015-16,Regular,14,48,W
9/3/2015,Idaho,Ohio,28,45,Visitor,2015-16,Regular,-17,73,L
9/3/2015,Arizona,UTSA,42,32,Visitor,2015-16,Regular,10,74,W
9/3/2015,North Carolina,South Carolina,13,17,Neutral,2015-16,Regular,-4,30,L
9/3/2015,Central Florida,Florida Intl,14,15,Visitor,2015-16,Regular,-1,29,L
9/4/2015,SMU,Baylor,21,56,Visitor,2015-16,Regular,-35,77,L
9/4/2015,Western Michigan,Michigan State,24,37,Visitor,2015-16,Regular,-13,61,L
9/4/2015,Syracuse,Rhode Island,47,0,Visitor,2015-16,Regular,47,47,W
9/4/2015,Army,Fordham,35,37,Visitor,2015-16,Regular,-2,72,L
9/4/2015,Oregon State,Weber State,26,7,Visitor,2015-16,Regular,19,33,W
9/4/2015,Georgia State,Charlotte U,20,23,Visitor,2015-16,Regular,-3,43,L
9/4/2015,Boise State,Washington,16,13,Visitor,2015-16,Regular,3,29,W
9/5/2015,Illinois,Kent,52,3,Visitor,2015-16,Regular,49,55,W
9/5/2015,Eastern Michigan,Old Dominion,34,38,Visitor,2015-16,Regular,-4,72,L
9/5/2015,Florida,New Mexico State,61,13,Visitor,2015-16,Regular,48,74,W
9/5/2015,Temple,Penn State,27,10,Visitor,2015-16,Regular,17,37,W
9/5/2015,UCLA,Virginia,34,16,Visitor,2015-16,Regular,18,50,W
9/5/2015,Northwestern,Stanford,16,6,Visitor,2015-16,Regular,10,22,W
9/5/2015,Auburn,Louisville,31,24,Neutral,2015-16,Regular,7,55,W
9/5/2015,Texas A&M,Arizona State,38,17,Neutral,2015-16,Regular,21,55,W
9/5/2015,NC State,Troy,49,21,Visitor,2015-16,Regular,28,70,W
9/5/2015,Oklahoma,Akron,41,3,Visitor,2015-16,Regular,38,44,W
9/5/2015,Tennessee,Bowling Green,59,30,Neutral,2015-16,Regular,29,89,W
9/5/2015,Arkansas,UTEP,48,13,Visitor,2015-16,Regular,35,61,W
9/5/2015,West Virginia,Georgia Southern,44,0,Visitor,2015-16,Regular,44,44,W
9/5/2015,Notre Dame,Texas,38,3,Visitor,2015-16,Regular,35,41,W
9/5/2015,Florida State,Texas State,59,16,Visitor,2015-16,Regular,43,75,W
9/5/2015,Alabama,Wisconsin,35,17,Neutral,2015-16,Regular,18,52,W
9/5/2015,Southern Miss,Mississippi St,16,34,Visitor,2015-16,Regular,-18,50,L
9/5/2015,USC,Arkansas State,55,6,Visitor,2015-16,Regular,49,61,W
9/5/2015,Rutgers,Norfolk State,63,13,Visitor,2015-16,Regular,50,76,W
9/5/2015,Iowa,Illinois State,31,14,Visitor,2015-16,Regular,17,45,W
9/5/2015,Maryland,Richmond,50,21,Visitor,2015-16,Regular,29,71,W
9/5/2015,Navy,Colgate,48,10,Visitor,2015-16,Regular,38,58,W
9/5/2015,Mississippi,Tennessee-Martin,76,3,Visitor,2015-16,Regular,73,79,W
9/5/2015,Clemson,Wofford,49,10,Visitor,2015-16,Regular,39,59,W
9/5/2015,Buffalo,Albany,51,14,Visitor,2015-16,Regular,37,65,W
9/5/2015,Air Force,Morgan State,63,7,Visitor,2015-16,Regular,56,70,W
9/5/2015,Colorado State,Savannah State,65,13,Visitor,2015-16,Regular,52,78,W
9/5/2015,Miami Ohio,Presbyterian,26,7,Visitor,2015-16,Regular,19,33,W
9/5/2015,Appalachian St,Howard,49,0,Visitor,2015-16,Regular,49,49,W
9/5/2015,Rice,Wagner,56,16,Visitor,2015-16,Regular,40,72,W
9/5/2015,California,Grambling State,73,14,Visitor,2015-16,Regular,59,87,W
9/5/2015,Louisiana Tech,Southern,62,15,Visitor,2015-16,Regular,47,77,W
9/5/2015,South Florida,Florida A&M,51,3,Visitor,2015-16,Regular,48,54,W
9/5/2015,Memphis,Missouri State,63,7,Visitor,2015-16,Regular,56,70,W
9/5/2015,Middle Tenn St,Jackson State,70,14,Visitor,2015-16,Regular,56,84,W
9/5/2015,Iowa State,Northern Iowa,31,7,Visitor,2015-16,Regular,24,38,W
9/5/2015,New Mexico,Mississippi Valley State,66,0,Visitor,2015-16,Regular,66,66,W
9/5/2015,Miami Florida,Bethune Cookman,38,0,Visitor,2015-16,Regular,38,38,W
9/5/2015,Texas Tech,Sam Houston State,59,45,Visitor,2015-16,Regular,14,104,W
9/5/2015,Texas A&M,Arizona State,38,17,Neutral,2015-16,Regular,21,55,W
9/5/2015,Auburn,Louisville,31,24,Neutral,2015-16,Regular,7,55,W
9/5/2015,Tennessee,Bowling Green,59,30,Neutral,2015-16,Regular,29,89,W
9/5/2015,Pittsburgh,Youngstown State,45,37,Visitor,2015-16,Regular,8,82,W
9/5/2015,Boston College,Maine,24,3,Visitor,2015-16,Regular,21,27,W
9/5/2015,Washington State,Portland State,17,24,Visitor,2015-16,Regular,-7,41,L
9/5/2015,South Alabama,Gardner Webb,33,23,Visitor,2015-16,Regular,10,56,W
9/5/2015,Wyoming,North Dakota,13,24,Visitor,2015-16,Regular,-11,37,L
9/5/2015,Missouri,SE Missouri State,34,3,Visitor,2015-16,Regular,31,37,W
9/5/2015,Indiana,So Illinois,48,47,Visitor,2015-16,Regular,1,95,W
9/5/2015,East Carolina,Towson,28,20,Visitor,2015-16,Regular,8,48,W
9/5/2015,Cincinnati,Alabama A&M,52,10,Visitor,2015-16,Regular,42,62,W
9/5/2015,Kansas State,South Dakota,34,0,Visitor,2015-16,Regular,34,34,W
9/5/2015,Houston,Tennessee Tech,52,24,Visitor,2015-16,Regular,28,76,W
9/5/2015,San Diego State,San Diego,37,3,Visitor,2015-16,Regular,34,40,W
9/5/2015,Kansas,South Dakota State,38,41,Visitor,2015-16,Regular,-3,79,L
9/5/2015,Tulsa,Florida Atlantic,47,44,Visitor,2015-16,Regular,3,91,W
9/5/2015,Oregon,Eastern Washington,61,42,Visitor,2015-16,Regular,19,103,W
9/5/2015,Kentucky,UL Lafayette,40,33,Visitor,2015-16,Regular,7,73,W
9/5/2015,Nebraska,BYU,28,33,Visitor,2015-16,Regular,-5,61,L
9/5/2015,Northern Illinois,UNLV,38,30,Visitor,2015-16,Regular,8,68,W
9/5/2015,Alabama,Wisconsin,35,17,Neutral,2015-16,Regular,18,52,W
9/6/2015,Marshall,Purdue,41,31,Visitor,2015-16,Regular,10,72,W
9/7/2015,Virginia Tech,Ohio State,24,42,Visitor,2015-16,Regular,-18,66,L
9/10/2015,Western Kentucky,Louisiana Tech,41,38,Visitor,2015-16,Regular,3,79,W
9/11/2015,Florida Atlantic,Miami Florida,20,44,Visitor,2015-16,Regular,-24,64,L
9/11/2015,Utah,Utah State,24,14,Visitor,2015-16,Regular,10,38,W
9/12/2015,Mississippi,Fresno State,73,21,Visitor,2015-16,Regular,52,94,W
9/12/2015,Georgia Southern,Western Michigan,43,17,Visitor,2015-16,Regular,26,60,W
9/12/2015,Mississippi St,LSU,19,21,Visitor,2015-16,Regular,-2,40,L
9/12/2015,Wisconsin,Miami Ohio,58,0,Visitor,2015-16,Regular,58,58,W
9/12/2015,Ohio,Marshall,21,10,Visitor,2015-16,Regular,11,31,W
9/12/2015,Syracuse,Wake Forest,30,17,Visitor,2015-16,Regular,13,47,W
9/12/2015,Clemson,Appalachian St,41,10,Visitor,2015-16,Regular,31,51,W
9/12/2015,Arkansas State,Missouri,20,27,Visitor,2015-16,Regular,-7,47,L
9/12/2015,Colorado,Massachusetts,48,14,Visitor,2015-16,Regular,34,62,W
9/12/2015,Michigan,Oregon State,35,7,Visitor,2015-16,Regular,28,42,W
9/12/2015,Georgia Tech,Tulane,65,10,Visitor,2015-16,Regular,55,75,W
9/12/2015,Vanderbilt,Georgia,14,31,Visitor,2015-16,Regular,-17,45,L
9/12/2015,BYU,Boise State,35,24,Visitor,2015-16,Regular,11,59,W
9/12/2015,Virginia,Notre Dame,27,34,Visitor,2015-16,Regular,-7,61,L
9/12/2015,California,San Diego State,35,7,Visitor,2015-16,Regular,28,42,W
9/12/2015,Arkansas,Toledo,12,16,Neutral,2015-16,Regular,-4,28,L
9/12/2015,Air Force,San Jose State,37,16,Visitor,2015-16,Regular,21,53,W
9/12/2015,SMU,North Texas,31,13,Visitor,2015-16,Regular,18,44,W
9/12/2015,Texas A&M,Ball State,56,23,Visitor,2015-16,Regular,33,79,W
9/12/2015,Texas Tech,UTEP,69,20,Visitor,2015-16,Regular,49,89,W
9/12/2015,Nebraska,South Alabama,48,9,Visitor,2015-16,Regular,39,57,W
9/12/2015,Indiana,Florida Intl,36,22,Visitor,2015-16,Regular,14,58,W
9/12/2015,USC,Idaho,59,9,Visitor,2015-16,Regular,50,68,W
9/12/2015,Stanford,Central Florida,31,7,Visitor,2015-16,Regular,24,38,W
