Play,Home Team,Visitor Team,Home Score,Visitor Score,Event Date,Odds,Result,Units Won,Home / Visitor,Season,Season Type
Play On North Carolina,North Carolina,South Carolina,13,17,9/3/2015,2,L,-100,Neutral,2015-16,Regular
Play On Oklahoma State,Central Michigan,Oklahoma State,13,24,9/3/2015,-21,L,-100,Visitor,2015-16,Regular
Play On Michigan,Utah,Michigan,24,17,9/3/2015,5,L,-100,Visitor,2015-16,Regular
Play On TCU,Minnesota,TCU,17,23,9/3/2015,-16.5,L,-100,Visitor,2015-16,Regular
Play On Colorado,Hawaii,Colorado,28,20,9/3/2015,-7,L,-100,Visitor,2015-16,Regular
Play On Western Kentucky,Vanderbilt,Western Kentucky,12,14,9/3/2015,-2.5,L,-100,Visitor,2015-16,Regular
Play On Elon,Wake Forest,Elon,41,3,9/3/2015,27,L,-100,Visitor,2015-16,Regular
Play On Alcorn State,Georgia Tech,Alcorn State,69,6,9/3/2015,41,L,-100,Visitor,2015-16,Regular
Play On Villanova,Connecticut,Villanova,20,15,9/3/2015,-6.5,L,-100,Visitor,2015-16,Regular
Play On New Hampshire,San Jose State,New Hampshire,43,13,9/3/2015,7,L,-100,Visitor,2015-16,Regular
Play On Abilene Christian,Fresno State,Abilene Christian,34,13,9/3/2015,21,P,0,Visitor,2015-16,Regular
Play On Duke,Tulane,Duke,7,37,9/3/2015,-5,W,87.7,Visitor,2015-16,Regular
Play On VMI,Ball State,VMI,48,36,9/3/2015,34,W,90.9,Visitor,2015-16,Regular
Play On Southern Utah,Utah State,Southern Utah,12,9,9/3/2015,32,W,90.9,Visitor,2015-16,Regular
Play On UC Davis,Nevada,UC Davis,31,17,9/3/2015,24,W,90.9,Visitor,2015-16,Regular
Play On Ohio,Idaho,Ohio,28,45,9/3/2015,-6.5,W,92.6,Visitor,2015-16,Regular
Play On UTSA,Arizona,UTSA,42,32,9/3/2015,32.5,W,95.2,Visitor,2015-16,Regular
Play On South Carolina,North Carolina,South Carolina,13,17,9/3/2015,-2,W,99,Neutral,2015-16,Regular
Play On Florida Intl,Central Florida,Florida Intl,14,15,9/3/2015,10.5,W,102,Visitor,2015-16,Regular
Play On Baylor,SMU,Baylor,21,56,9/4/2015,-36,L,-100,Visitor,2015-16,Regular
Play On Michigan State,Western Michigan,Michigan State,24,37,9/4/2015,-16.5,L,-100,Visitor,2015-16,Regular
Play On Rhode Island,Syracuse,Rhode Island,47,0,9/4/2015,33.5,L,-100,Visitor,2015-16,Regular
Play On Fordham,Army,Fordham,35,37,9/4/2015,14,W,90.9,Visitor,2015-16,Regular
Play On Weber State,Oregon State,Weber State,26,7,9/4/2015,28,W,90.9,Visitor,2015-16,Regular
Play On Charlotte U,Georgia State,Charlotte U,20,23,9/4/2015,7,W,96.2,Visitor,2015-16,Regular
Play On Washington,Boise State,Washington,16,13,9/4/2015,12,W,107,Visitor,2015-16,Regular
Play On Kent,Illinois,Kent,52,3,9/5/2015,13,L,-100,Visitor,2015-16,Regular
Play On Old Dominion,Eastern Michigan,Old Dominion,34,38,9/5/2015,-6,L,-100,Visitor,2015-16,Regular
Play On New Mexico State,Florida,New Mexico State,61,13,9/5/2015,34,L,-100,Visitor,2015-16,Regular
Play On Penn State,Temple,Penn State,27,10,9/5/2015,-6,L,-100,Visitor,2015-16,Regular
Play On Virginia,UCLA,Virginia,34,16,9/5/2015,17.5,L,-100,Visitor,2015-16,Regular
Play On Stanford,Northwestern,Stanford,16,6,9/5/2015,-10,L,-100,Visitor,2015-16,Regular
Play On Auburn,Auburn,Louisville,31,24,9/5/2015,-10.5,L,-100,Neutral,2015-16,Regular
