"","Date","Away","Home","Actual","OREB_1","OREB_2","OREB_4","OREB_5a","OREB_5b","OREB_5c","OREB_6","OREB_7","OREB_8","OREB_9","OREB_11","OREB_12","OREB_13","OREB_14","OREB_15","OREB_16","OREB_17"
"1","4/4/2023","Toronto Raptors","Charlotte Hornets",16,23.2601151,20.9578,27.40711837,21.97833362,25,21.98,22.06,23.92351632,18.68213,20.26817511,23.09,20.26080971,18.9601183,22.87653,20.9743503,19.41508993,23
"2","4/4/2023","Milwaukee Bucks","Washington Wizards",21,19.87803962,20.43733333,16.17579596,19.63319441,19,20.25,20.23,21.86937867,18.77779,20.7841302,19.2,17.91116846,22.0735316,20.83003,19.40676019,17.59489542,22
"3","4/4/2023","Cleveland Cavaliers","Orlando Magic",18,21.26969533,19.1462,19.84169435,19.27981164,21,19.39,21.21,18.33916132,19.8826,17.43000466,19.96,23.05870678,18.3390969,18.49306,20.81905948,19.77486,20
"4","4/4/2023","Miami Heat","Detroit Pistons",11,21.36829656,21.07916667,24.55894952,20.21405169,22,20.34,19.86,19.46683211,22.10236,15.34832399,21.96,23.91854999,16.1346154,19.82426,19.77264309,21.05030738,20
"5","4/4/2023","Minnesota Timberwolves","Brooklyn Nets",14,19.87125603,19.0551,18.21334911,20.18074354,17,21.09,23.34,18.999067,21.79692,22.39977436,17.21,23.07213101,26.2350674,16.99605,23.48795555,18.03068392,20
"6","4/4/2023","Denver Nuggets","Houston Rockets",33,21.92846014,24.52426667,20.84866753,22.4902239,25,23.42,21.09,22.14239818,21.4532,16.91821572,23.08,21.08934923,19.398137,21.91448,20.27230856,20.91948845,21
"7","4/4/2023","Portland Trail Blazers","Memphis Grizzlies",21,21.67568075,21.58136667,21.74053475,21.92156286,23,20.82,22.38,21.46727691,20.27741,18.27875165,22.28,23.94827326,19.4216346,23.56879,19.94784575,18.47169244,21
"8","4/4/2023","Sacramento Kings","New Orleans Pelicans",20,20.16468485,20.02273333,19.7248862,20.72552431,21,20.02,22.35,19.47984372,21.16506,15.72192644,20.16,19.21766457,18.7987525,20.54096,18.64771595,19.00298532,22
"9","4/4/2023","Boston Celtics","Philadelphia 76ers",19,18.08630393,19.4413,17.67062396,16.90225728,18,19.09,22.08,18.57938818,18.91876,15.72192644,19.08,18.13431504,14.9678567,17.3279,16.49559763,18.75026715,20
"10","4/4/2023","Atlanta Hawks","Chicago Bulls",13,21.30863388,19.63013333,18.22596436,20.46326748,20,20,18.28,20.69347878,20.7479,17.34315611,19.94,24.15980757,28.2407801,20.02964,22.20689334,20.35549958,23
"11","4/4/2023","Los Angeles Lakers","Utah Jazz",18,22.06618887,23.1467,18.79804435,23.35109467,23,22.29,24.3,24.21053931,19.83544,20.04202361,22.42,21.12671292,20.6102576,22.92314,20.39478799,26.07754458,22
"12","4/4/2023","Oklahoma City Thunder","Golden State Warriors",32,22.34604093,20.2695,22.15592231,21.84388561,22,23.35,21.81,23.45922736,21.89491,15.80821028,22.08,23.26312026,23.5702213,22.50469,20.29812018,21.58826064,22
"13","4/4/2023","San Antonio Spurs","Phoenix Suns",24,21.99764895,20.26133333,25.45607481,22.46238305,22,22.47,19.57,23.76935718,18.23733,21.92577454,23.08,22.66618208,24.41644,22.89963,21.87599526,20.3547511,23
"14","4/5/2023","Brooklyn Nets","Detroit Pistons",20,20.85929768,20.21586667,21.63452688,19.81230531,20,21.27,22.14,20.59856373,22.2017,24.62080769,20.02,30.8008719,14.2309841,18.77016,23.22473158,22.99714581,20
"15","4/5/2023","New York Knicks","Indiana Pacers",30,22.51373829,21.43976667,22.95626312,23.04902213,23,22.2,26.02,24.50179961,19.10856,19.29724539,23.08,20.15303646,17.6274622,22.66769,19.27841802,21.44584665,22
"16","4/5/2023","Washington Wizards","Atlanta Hawks",24,21.94871512,21.03256667,19.9276975,20.83729691,21,20.94,17.42,21.02518341,19.93184,18.87099107,22.27,NA,20.9007237,20.10342,22.01187668,23.03345374,23
"17","4/5/2023","Toronto Raptors","Boston Celtics",24,21.97784749,20.42316667,21.23555147,19.68673509,22,20.63,18.69,20.65725533,19.21509,26.02091373,20.91,20.34238651,20.6931288,18.75346,20.29425066,19.43104835,20
"18","4/5/2023","Chicago Bulls","Milwaukee Bucks",18,22.42665891,22.86503333,17.73902159,19.59615619,18,19.67,22.78,19.96276408,17.18412,24.81530521,20.81,17.69476848,21.487624,21.60283,18.20404564,18.27278253,22
"19","4/5/2023","Memphis Grizzlies","New Orleans Pelicans",23,21.33455345,21.15493333,21.97514278,22.41787851,24,21.14,21.89,22.9906132,18.66805,20.94773101,23.18,20.86283588,24.0996528,23.61009,22.64278082,18.00927665,23
"20","4/5/2023","Sacramento Kings","Dallas Mavericks",29,19.0149291,18.24486667,21.35225143,18.88398524,19,18.68,18.32,16.15874825,20.86377,16.83048265,17.21,19.88299395,14.746404,17.57473,16.19885938,16.59310877,19
"21","4/5/2023","Los Angeles Lakers","Los Angeles Clippers",15,20.9995505,21.16563333,18.62975629,21.77868906,21,21.11,18.37,20.77628139,20.26164,21.19584238,NA,22.17963681,14.746404,20.35657,17.27119464,20.89270016,22
"22","4/6/2023","Cleveland Cavaliers","Orlando Magic",18,21.26969533,19.1462,19.84169435,19.4262578,21,19.39,21.21,18.74580389,19.8826,19.35620857,19.96,23.05870678,18.3390969,18.49306,20.81905948,19.77486,20
"23","4/6/2023","Miami Heat","Philadelphia 76ers",13,19.50265821,18.6296,20.61214691,17.96041693,19,18.58,13.2,16.67609327,20.25682,20.74532637,18.77,17.96897768,17.1947797,16.71197,18.15677156,17.56095581,20
"24","4/6/2023","Portland Trail Blazers","San Antonio Spurs",26,22.13459345,20.5256,22.9955599,21.86095274,22,21.18,23.02,20.77283709,19.38236,25.35172433,22.24,23.2939435,18.9157446,22.27312,19.23390879,19.16707743,20
"25","4/6/2023","Oklahoma City Thunder","Utah Jazz",24,21.9178215,22.49303333,23.10221454,22.81748396,24,23.1,20.16,25.63144076,22.5877,26.01250629,22.99,22.57720142,24.8629442,23.64535,23.52142256,24.49160771,23
"26","4/6/2023","Denver Nuggets","Phoenix Suns",16,21.5653582,20.0588,19.8876185,20.99080331,23,22.17,21.26,20.81911934,20.19779,18.20500857,21.15,18.00763591,20.1431479,19.73697,20.57947398,19.14511555,22
"27","4/7/2023","Houston Rockets","Charlotte Hornets",21,23.09520907,22.32653333,26.20092654,25.09956801,26,22.86,26.8,25.21233461,19.36016,17.68766688,23.79,22.04354812,28.3138778,25.43528,21.02522416,19.3105231,24
"28","4/7/2023","Miami Heat","Washington Wizards",26,20.74427741,19.099,19.10808139,18.79261847,21,18.64,NA,17.49043893,20.06903,18.95036067,18.81,18.20664191,18.7711443,18.08246,19.06398953,17.13252413,21
"29","4/7/2023","Detroit Pistons","Indiana Pacers",19,22.5041626,20.724,24.71768023,23.21907928,21,22.48,24.54,22.29522395,19.45741,17.9505866,21,26.29524201,29.7595238,22.56236,24.19734078,18.52076378,22
"30","4/7/2023","Orlando Magic","Brooklyn Nets",25,20.63004463,19.1753,19.62615264,20.36443581,19,20.02,18.56,18.7181841,20.25554,22.51783825,17.98,23.58595687,14.2309841,17.60606,21.41301117,18.85048657,19
