"Date","Home","Away","Actual","group1","group2","group3","group4","group5","group6","group7","group8","group9","group10","group11","group12","group13","group14"
"11/8/2021","Pittsburg Steelers","Chicago Bears",2,1.789404011,4.4824,3.225719,14.69,-10,7,6.79,5.97466854,6.129946196,-4.95557637,8.451746,6.42478797,7,-4.880661881
"11/11/2021","Miami Dolphins ","Baltimore Ravens",12,-10.27371415,-9.4424,-8.8478548,9.67,7.5,-3.5,-4.83,-2.26731245,-13.61091961,-3.511844833,-10.89547,11.50358177,-11,2.395318836
"11/14/2021","Dallas Cowboys","Atlanta Falcons ",40,10.11756784,13.9226,5.89511463,14.49,-12,10.5,9.85,4.15430894,13.20986673,-5.732953846,13.4836,13.18016488,11.5,-8.303744663
"11/14/2021","Tennessee Titans ","New Orleans Saints",2,3.891134353,0.6249,-2.7248469,5.89,-12.5,3.5,7.49,2.21260552,4.192664715,-4.045761985,3.80485,8.31496418,-3.5,0.116119969
"11/14/2021","Indianapolis Colts","Jacksonville Jaguars ",6,7.376033067,5.3581,5.10931743,-11.25,-13.5,11,12.73,6.54248965,12.58872333,0.037501055,3.122659,11.5144543,7,-8.981198152
"11/14/2021","New England Patriots","Cleveland Browns",38,1.985976286,-1.4731,0.5789585,12.14,11.5,5,-2.91,7.83736179,5.171663367,-1.939019006,-0.70578,6.66608957,-7,4.734464071
"11/14/2021","New York Jets","Buffalo Bills",-28,-16.36734919,-11.0551,-17.026841,5.29,-10,-10,-35.43,-6.98166222,-28.07572178,-2.999172167,-12.941675,14.68289167,0.5,10.87823662
"11/14/2021","Pittsburg Steelers","Detroit Lions",0,0.952414011,4.79,5.35674975,-6.88,-10,6,12.1,5.97466854,9.850375878,-0.476250879,6.55744,10.65234578,6,-5.479082207
"11/14/2021","Washington Football Team ","Tampa Bay Buccaneers",10,-11.12433514,-11.5711,-7.8869166,8.58,9,-3,-23.24,-6.0665093,-19.30218803,-5.14132416,-7.46716947,14.12684135,2,-1.370767813
"11/14/2021","Arizona Cardinals ","Carolina Panthers",-24,8.779120288,12.5685,-2.8112285,-2.73,-10,6.5,19.32,-4.03662811,9.946720321,-2.418107612,9.520312,12.62455227,-2.5,-2.74443892
"11/14/2021","Los Angeles Chargers","Minnesota Vikings ",-7,1.282460182,3.5477,-2.7248469,4.45,-6.5,1,1.86,0.03932219,4.77844661,-4.747246339,-0.586888,8.404555187,2,0.52488294
"11/14/2021","Denver Broncos ","Philadelphia Eages",-17,-3.773883715,-1.0449,-0.3818651,-5.31,-5.5,2.5,-2.57,-2.41164533,1.097105373,-0.885891988,-10.09066,7.6784324,-3.5,3.529270961
"11/14/2021","Green Bay Packers","Seattle Seahawks ",17,2.05271878,2.4743,0.02805377,-1.1,-10,3,9.74,6.61340345,-0.234708116,-2.941500177,3.270534,11.03012742,-1.5,6.577237847
"11/14/2021","Las Vegas Raiders","Kansas City Chiefs",-27,-0.060761105,-3.0318,-9.4548727,-5.68,11,3,5.2,-2.07080801,3.318889956,-10.18085329,-2.2385187,8.735441944,-4,-2.522290471
"11/15/2021","San Francisco 49ers","Los Angeles Rams",21,-6.296145636,0.4529,-7.8869166,-3.24,11.5,0,-14.49,3.33480992,-10.67378053,-0.828987972,-10.052217,12.45921221,-8.5,2.135780829
"11/18/2021","Atlanta Falcons","New England Patriots",-25,-4.862859934,-8.8479,-6.7225465,-3.01,10,0,6.3,-0.04615678,-12.19947682,-3.208059969,0.490111,10.8302511,-4,5.368918038
