"","Date","Away","Home","Actual","Spread_1","Spread_2","Spread_4","Spread_5a","Spread_5b","Spread_5c","Spread_6","Spread_7","Spread_8","Spread_9","Spread_11","Spread_12","Spread_13","Spread_14","Spread_15","Spread_16","Spread_17"
"1","4/4/2023","Toronto Raptors","Charlotte Hornets",-20,-1.997697302,-2.20975525,6.44,-7.157256408,-7,-5.7,-1.67,-3.152886378,-1.2,-4.62518,0.25,-12.58383952,-5.020399,-2.126337,-10.6426846,-1.01433203,-9
"2","4/4/2023","Milwaukee Bucks","Washington Wizards",-12,1.410869976,-4.579624683,-2.64,-5.502954493,-11,0.11,2.64,-3.402786672,0.2,-2.41798,-3.1,-3.553330787,20.54754,-0.910457,-4.225289345,-8.577931394,-8
"3","4/4/2023","Cleveland Cavaliers","Orlando Magic",-4,-0.426874472,-1.113429019,-7.22,0.124965579,-8,0.575,-6.33,-2.633171902,5.5,-2.41798,-2.4,22.95408331,-8.408506,3.566048,-0.917284975,1.423546909,-10
"4","4/4/2023","Miami Heat","Detroit Pistons",-13,-0.472255408,1.298327921,-2.79,-3.518257514,-6,-2.21,-8.64,-4.179081827,4.9,-5.9495,0.82,-23.69384589,2.37654,5.594665,-7.139615633,-3.974801192,-12
"5","4/4/2023","Minnesota Timberwolves","Brooklyn Nets",-5,-0.169176465,-3.032480137,-7.14,1.228587484,-1,3.855,2.18,2.755222992,4,-0.21077,-0.15,12.77513322,-2.7463,-0.815061,-6.910426786,-8.016412542,-10
"6","4/4/2023","Denver Nuggets","Houston Rockets",21,-4.344339988,-7.160003648,-15.32,-4.651539286,-8,-2.04,-7.2,-4.898624449,7.7,-6.83238,-11.16,-25.84078902,6.197627,-1.852151,-13.68227882,-5.193216864,-10
"7","4/4/2023","Portland Trail Blazers","Memphis Grizzlies",10,3.977990073,2.247066389,-3.83,11.2155223,13,6.68,12.11,9.558508317,-7.5,-8.59814,8.63,54.88041175,43.06995,9.222805,18.08265041,10.79935802,5
"8","4/4/2023","Sacramento Kings","New Orleans Pelicans",-18,-2.528919611,-6.972587996,-5.48,-0.472834422,-1,-1.27,3.52,3.254878582,2.9,-2.85942,-4.39,12.76374124,16.5853,-3.837437,5.540639815,-10.83698121,11
"9","4/4/2023","Boston Celtics","Philadelphia 76ers",2,0.091997888,-3.618631654,-4.81,1.914809619,-4,-1.02,1.65,-0.759207831,8.3,-0.65221,-2.72,-9.206492889,9.279415,-1.337572,-14.70773598,-4.584617423,-2
"10","4/4/2023","Atlanta Hawks","Chicago Bulls",-18,-1.065961845,-4.788354781,-5.04,2.815131842,4,4.045,4.84,3.144912716,-5,-2.85942,1.29,5.198997346,-22.52083,-1.959856,-7.97514218,-3.489460056,-10
"11","4/4/2023","Los Angeles Lakers","Utah Jazz",-2,-0.397937659,-0.592093577,-6.41,-0.298037003,-3,-1.51,11.67,0.725876115,-0.7,-1.97653,-0.15,16.83366003,1.03903,1.39625,4.655101966,-2.195758353,-11
"12","4/4/2023","Oklahoma City Thunder","Golden State Warriors",11,-1.587840416,0.171180394,-0.07,9.796512094,2,4.65,17.73,4.3622484,4.9,-5.50806,12.46,21.53262589,10.34613,5.247471,7.935820371,6.82787714,11
"13","4/4/2023","San Antonio Spurs","Phoenix Suns",21,1.453914532,1.615643363,-2.01,12.82933688,11,8.19,12.37,12.21325586,-4,-11.2468,6.64,34.91096038,6.129842,3.321593,18.45416961,12.25762769,12
"14","4/5/2023","Brooklyn Nets","Detroit Pistons",-15,-3.690880802,-3.071005762,-11.64,-7.448572035,-5,-4.875,-10.07,-6.321160559,-4.1,-5.06662,-8,-15.52227463,4.434099,-1.081713,-4.564028601,-7.165708636,-15
"15","4/5/2023","New York Knicks","Indiana Pacers",-9,-1.659771527,-0.913986722,-3.99,-3.79518114,-2,-3.665,0.36,-5.17232199,6.8,-2.85942,3.19,-5.685966528,-11.01458,3.474287,-10.24987146,2.969622298,-9
"16","4/5/2023","Washington Wizards","Atlanta Hawks",18,3.778012452,3.72000748,-7.14,2.336038914,-2,0.22,6.31,2.013397526,5.8,-3.7423,3.19,21.20851606,17.30597,6.48757,7.631351596,13.18276498,10
"17","4/5/2023","Toronto Raptors","Boston Celtics",4,1.672040527,4.123332878,0.24,10.48423611,2,3.62,-2.82,6.819104465,-0.7,-5.06662,13.79,40.96178839,3.562254,9.484225,9.652499148,13.94215011,18
"18","4/5/2023","Chicago Bulls","Milwaukee Bucks",13,1.927037603,2.295370555,-6.26,7.850467624,4,-0.75,8.67,6.645354367,14.9,-4.62518,8.05,39.39854091,-8.063193,6.856306,8.430726596,7.992802502,7
"19","4/5/2023","Memphis Grizzlies","New Orleans Pelicans",7,0.201853028,-0.114976517,-2.6,6.009088942,2,3.515,4.76,2.205143781,12.5,-1.09365,0.78,11.18887563,-1.106418,0.820424,-7.416767161,0.506011009,-15
"20","4/5/2023","Sacramento Kings","Dallas Mavericks",4,-6.505520526,-7.282308703,-6.68,-1.920715329,-2,-3.64,6.47,0.157421965,-4,-3.7423,-4.81,-12.64183465,5.186062,2.910293,-3.356390863,-4.324404349,6
"21","4/5/2023","Los Angeles Lakers","Los Angeles Clippers",7,-2.376260975,-4.366270135,-5.44,-0.748133072,1,-2.095,6.97,3.151818179,6.3,-1.97653,-2.27,8.446960793,-12.23016,-4.708077,6.770492135,-0.720269851,6
"22","4/6/2023","Cleveland Cavaliers","Orlando Magic",-24,-0.426874472,-1.113429019,-7.22,0.120645714,-8,0.575,-6.33,-2.509090473,5.5,-2.41798,-2.4,22.95408331,-8.408506,3.566048,-0.917284975,1.423546909,-10
"23","4/6/2023","Miami Heat","Philadelphia 76ers",-28,4.509918754,5.683714988,0.79,8.092911125,1,3.54,0.27,6.74455942,11.4,-5.06662,8.19,21.30196992,20.36667,7.914641,-2.165995391,1.124296164,5
"24","4/6/2023","Portland Trail Blazers","San Antonio Spurs",2,-0.562671719,-2.089569435,-5.33,-2.337419273,-2,1.145,-7.53,-3.07958969,2.4,-0.65221,1.85,17.10018838,9.730214,3.315933,-5.159969228,4.146490339,-9
