"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",213.6295812,222.730859274559,224.15,228.028218825349,223.1319648,220.8882,220.4536303,221.9008449,188.1589,220.246,194,230.6752,214.93,208.32,225.1897578,201,NA
"2",213.0112083,205.406805805747,220.67,225.811615999976,222.5265953,222.043,220.3383943,220.7654841,194.5754,226.471,202,213.7225,205.8882,208.17,224.5399649,202,NA
"3",211.1765387,198.59979501232,221.93,221.421827733039,218.6716106,210.5945,223.5991479,218.8407267,213.7243,215.468,205,201.4391,185.0408,203.83,213.6848083,203,NA
"4",212.1092123,205.427778464542,221.37,222.486721428601,222.0739211,216.4643,228.407492,210.6854794,216.8502,217.912,196,225.1874,189.2287,204,218.5534796,201,NA
"5",209.5280871,196.989083810657,220.01,221.622323411313,219.7967187,216.507,223.0690372,214.4664502,210.6325,209.99,204,216.6657,223.6634,205.82,213.2379258,201,NA
"6",217.7423447,218.049960182957,220.67,227.207069485982,227.6137352,230.1516,218.5696838,226.9509259,205.9095,227.873,202,220.8797,201.745,207.97,227.8683819,201,NA
"7",211.337118,200.475224923599,214.64,214.672272276815,211.5080985,210.5865,226.7014016,211.5715689,210.0193,213.872,202,211.4391,198.7697,204.53,206.737915,202,NA
"8",212.8018421,237.232060435194,230.72,232.801860150724,226.3160999,221.7479,225.5517429,224.5621244,198.762,236.206,213,226.6421,195.8936,205.35,239.2431697,199,NA
"9",214.6802274,213.16955924227,216.8,222.310267451582,222.9525033,222.0493,224.6960683,213.7799896,190.8811,218.976,205,214.05,212.4544,207.98,221.6977063,202,NA
"10",212.1271162,205.534161180746,219.89,222.472416651177,221.3466605,217.8772,214.9266093,217.463331,203.5454,210.968,200,216.0096,247.2436,206.67,216.5060835,202,NA
"11",209.0256275,207.656424364573,212.82,217.168931227888,214.0203354,217.4754,229.9298113,210.7814174,193.4744,220.72,192,212.6974,180.4537,203.61,211.2173614,204,NA
"12",213.2492529,221.255535058554,219.88,228.979719413795,228.7345599,226.8833,227.8291668,232.3726188,212.5289,232.917,206,232.0794,210.7231,206.2,238.1828362,203,NA
"13",213.2249202,201.957068776961,222.58,220.274262956404,219.0735136,229.913,217.4392325,216.9255949,202.9028,212.432,201,219.4691,249.451,205.18,214.5902114,200,NA
"14",215.9757547,217.848078930486,215.07,220.165871103737,224.136281,222.0536,223.2549381,219.1288422,190.3642,224.627,209,229.3569,210.6722,206.41,221.1103807,205,NA
"15",220.8559961,212.318324647147,213.62,217.115818358269,224.3955889,214.4351,224.0750533,217.8482681,217.0987,225.364,219,212.0206,216.7547,203.75,223.7795058,202,NA
"16",207.7609207,212.864627901344,220.72,224.418104454398,223.4961212,222.6286,223.703953,219.7408397,180.1165,216.996,199,234.2359,221.125,207.32,222.9305858,200,NA
"17",213.1859288,201.159262676364,223.4,222.434152016463,218.8364462,215.6755,224.5545722,215.6228882,191.005,215.261,202,221.6171,210.8998,207.17,214.0711195,201,NA
"18",214.2460112,232.744180490593,221.85,227.239299562234,226.8618749,240.0664,232.3175616,223.2025727,209.8365,237.976,223,226.991,222.8126,206.39,234.8652688,202,NA
"19",214.8914624,217.535939525182,225.27,232.810863498051,231.9120352,241.3379,228.2791243,229.3049022,201.9617,232.433,212,231.4298,204.0399,205.19,234.8706798,203,NA
"20",221.0052291,215.317214838662,213.4,215.635553347754,218.418028,217.8454,222.3192758,222.5863586,198.9142,219.027,212,215.8909,189.3937,205.6,220.9861591,201,NA
"21",212.4785699,210.362536884971,222.33,222.905763221376,222.144533,216.7942,220.5947132,220.7255022,192.2917,218.539,211,211.1299,205.5876,205.52,220.7666744,201,NA
"22",210.9516976,222.762116876274,224.31,229.094973675568,222.9191193,219.7422,231.460739,228.2368417,207.7198,233.336,210,221.5298,211.5838,207.22,228.7343919,202,NA
"23",210.9091868,220.154197032575,225.99,230.273823962879,218.9670756,215.28,231.1824724,216.4003312,220.9937,228.214,208,239.178,216.2317,204.61,228.4656197,203,NA
"24",212.5318185,197.577380884424,211.04,212.482904721028,218.3947619,213.1498,221.5149125,205.4798458,201.0369,207.514,201,211.4519,207.5621,205.51,210.5610618,201,NA
"25",213.2031606,221.483468302204,227.18,229.015250273883,226.9933124,221.0226,220.6254185,227.4408781,198.3182,219.41,202,223.6157,227.6362,206.23,225.7150224,202,NA
"26",216.8547353,222.821655563845,225.65,227.895741960776,228.9514828,226.604,229.9834016,226.0247525,225.8437,236.562,193,228.0639,250.2701,205.7,243.3614027,201,NA
"27",209.4646515,227.777748995448,226.71,229.928659094319,215.4768614,216.2712,232.2030049,214.5094281,220.5102,237.492,206,214.9602,226.741,204.1,231.0358532,204,NA
"28",213.3337966,204.832520720982,212.72,216.494162668811,220.0207334,215.2281,224.2563962,213.2125379,183.9301,214.011,203,210.7689,246.2137,206.62,209.4319291,202,NA
"29",206.79025,212.620930241047,216.93,225.747063448801,215.345402,222.5974,231.0365853,222.5717723,192.1514,227.435,192,222.5656,229.165,204.28,229.4517408,201,NA
"30",218.3640955,218.293634848801,220.33,223.057086378327,226.7742266,227.8305,216.7901479,220.9961811,189.1241,223.774,218,226.0022,208.5712,205.42,223.0048642,203,NA
"31",209.6955732,203.186597542686,213.75,216.446279648159,219.5013731,220.7819,221.4229568,213.928462,195.8866,212.811,203,214.3641,240.9372,205.91,213.7293922,202,NA
"32",215.1259003,219.192961412312,217.69,224.842442047662,224.3609342,232.672,222.7884994,222.6699103,182.2831,224.942,211,218.3091,231.7212,207.7,232.3516664,200,NA
"33",209.5692736,193.103028373083,220.04,217.025172125843,217.3191926,233.6172,210.357678,208.793297,204.0741,209.802,203,226.9805,207.0493,206.6,201.5282004,201,NA
"34",211.4262292,225.453982081016,228.45,227.75601187431,224.6670207,221.8835,217.9877541,214.5445795,194.2626,222.52,193,218.5563,222.0004,203.77,219.7272127,202,NA
"35",211.9757873,228.493679355453,214.65,220.493719811411,217.5616498,212.1693,226.1673292,219.4734063,223.9015,226.536,197,221.6412,218.0278,207.52,229.0765854,200,NA
"36",210.5522909,212.611344675642,214.8,216.484530023719,211.1245131,217.6206,228.6501487,208.8097036,198.9266,219.994,198,217.603,214.0283,204.36,206.9386152,201,NA
"37",220.9675413,214.32900638547,218.77,224.500686773014,224.804947,216.5795,227.3134575,225.0946187,213.8538,226.724,206,216.8702,216.8234,207.1,225.0757731,203,NA
"38",210.785682,212.493326191977,221.68,232.071542387799,226.9224351,231.3912,233.6211964,230.3757874,193.8298,232.324,191,238.7828,208.9173,203.08,235.5327154,202,NA
"39",211.6334763,212.698175949135,218.96,225.138334541065,223.2627726,225.6345,227.2485614,220.8778072,210.68,219.505,206,219.9407,211.2635,206.92,221.7833012,200,NA
"40",213.0138709,221.189030434461,220.64,226.560296420019,222.4551442,234.7561,228.6314392,219.8542707,207.0646,227.294,196,227.998,210.2839,205.76,227.5886652,202,NA
"41",213.02506,194.878707587563,223.32,220.274262956404,220.5825082,219.5254,221.5511344,216.4401158,195.1286,212.888,206,219.5779,222.1637,205.79,218.5884797,201,NA
"42",212.6237642,222.670135115189,225.6,225.531956014585,224.0650595,221.4002,219.7034952,213.8712367,187.3937,227.598,197,219.2462,219.2984,205.14,229.6574854,203,NA
"43",211.8766577,206.884117790868,219.76,225.723133997645,217.5481055,219.2865,227.8682939,220.7468329,203.0007,226.591,204,210.8135,203.4582,206.4,234.0073228,201,NA
"44",214.014359,211.546258470138,208.98,211.582904763113,221.7983589,224.0342,224.1619269,218.4854569,183.067,217.282,209,214.9525,207.5725,204.92,219.9467667,200,NA
"45",215.4509518,204.456076960905,214.93,217.290026475157,222.3695907,213.6257,224.5000887,210.6661331,192.6776,214.049,217,211.7478,218.4836,207.13,216.2873107,200,NA
"46",211.7170982,222.89568427903,225.6,225.612716150759,224.2120451,236.4891,224.9688353,221.4955312,202.4416,238.034,211,229.0861,215.8376,207.3,227.3970588,201,NA
"47",213.622498,222.363468103922,219.46,224.931561731634,229.192654,241.815,235.04609,228.1409331,212.9483,231.86,214,219.8863,217.2684,207.43,229.7458801,201,NA
"48",211.9413267,202.90874495557,210.66,211.002639710513,213.1500822,214.8976,219.9915573,206.0531597,206.0275,206.769,202,215.3286,215.7382,205.76,197.5680649,203,NA
"49",213.6250838,221.378195218487,220.17,225.349663448979,222.7113137,219.3206,221.758534,221.3360322,216.5218,222.729,200,218.5977,210.4783,205.81,231.0907814,202,NA
"50",219.1450979,219.438218260658,220.96,225.889952341081,225.297205,214.0566,230.3932816,226.4934096,190.429,228.891,214,218.2023,207.8365,205.98,225.4282819,201,NA
"51",213.2635592,223.487561259602,217.13,223.058947871625,220.7629787,224.5845,227.237913,213.0286018,194.2794,221.865,198,228.2632,204.8374,208.01,223.4757526,202,NA
"52",216.0490467,207.14096845636,212.98,213.882998416133,226.1206672,223.6591,224.2029235,214.6052446,181.4407,213.543,215,214.9833,211.8264,205.58,217.7153702,201,NA
"53",215.5610103,224.008246574053,214.44,218.262419451306,223.2519767,217.2994,228.4923033,218.1779186,220.1384,227.166,209,222.9129,216.3826,206.57,228.5655783,200,NA
"54",212.5357275,211.816555859221,226.23,234.15576317695,228.2229679,230.3321,224.093117,229.158116,208.9412,224.695,212,234.5567,223.8946,203.38,228.5766914,204,NA
"55",211.7095097,213.49582217003,222.5,228.712190584357,220.6957968,223.1039,229.4011983,233.2485267,192.5073,226.562,200,231.7959,212.8476,207.58,230.4299448,202,NA
"56",211.4262292,225.453982081016,228.45,227.75601187431,224.6670207,221.8835,217.9877541,214.5445795,194.2626,222.52,193,218.5563,219.8374,203.77,216.2983125,201,NA
"57",212.0967411,206.839055626505,213.75,217.977330079395,223.2131324,237.5428,225.6127663,216.6861749,198.2852,216.954,197,213.669,193.8275,204.64,211.3324512,203,NA
"58",208.6285085,213.306824741907,216.84,216.541873373342,209.1590082,205.3864,221.361186,209.153926,208.9384,215.184,208,209.5185,194.7386,206.3,215.257528,203,NA
"59",216.0192269,236.677673903715,233.47,233.661048677381,228.001793,235.7062,225.980254,228.2565856,222.9731,241.993,217,225.2478,210.8375,205,247.7796333,201,NA
"60",217.5511138,222.574977537178,224.57,229.811713001386,230.8161553,235.4572,215.5689993,230.4594866,201.0623,226.633,204,220.5808,199.2785,207.82,228.6130124,201,NA
"61",212.8456505,236.547572641521,217.4,223.918929912414,226.8482921,246.2622,232.5141452,227.7514152,221.3716,239.145,211,219.1969,180.8275,207.53,235.9316325,203,NA
"62",213.6627716,222.366403671679,214.87,216.484530023719,216.3243947,220.5865,216.7643523,218.8244883,203.458,214.968,199,217.6106,210.7385,204.32,228.8205493,201,NA
"63",214.0342836,214.774078978236,215.28,218.0387068952,220.1800661,216.1609,227.0419335,209.9174784,198.2156,216.917,202,225.8081,187.2846,207.16,217.0398059,202,NA
"64",211.0053758,218.190867309677,224.64,228.892227547452,224.3181558,221.9606,218.5487237,228.581884,203.9093,215.249,222,223.9592,194.7582,205.54,224.9921198,203,NA
"65",214.6449309,228.161449390217,227.23,231.066148282146,224.6442769,219.0783,222.83811,219.7712622,201.2165,234.25,206,219.2394,207.3764,207.4,234.9800716,202,NA
"66",221.0982452,229.919776828829,217.39,225.126633448652,224.507768,215.0607,231.6718633,229.2123367,223.2091,239.865,223,222.205,210.8275,207.49,234.1116309,202,NA
"67",209.2915915,197.016027442614,218.19,219.162529971753,215.0400066,218.6381,215.8983417,218.6925634,197.9031,215.889,206,216.6201,217.6285,207.71,212.8150024,202,NA
"68",215.909968,221.6448685006,221.5,224.613885637138,229.5150929,227.7489,214.2853801,215.7130986,193.0817,222.9,207,228.6641,190.947,205.34,218.4570288,201,NA
"69",209.5843783,208.603693851926,218.53,218.867136399936,218.2824589,228.8277,218.235704,212.3177802,217.0087,218.64,194,223.713,213.7284,207.09,211.6646684,201,NA
"70",212.3007388,200.457094616783,215.65,216.776075184021,220.6824654,221.5204,219.1614176,209.6263843,182.8291,208.484,200,214.1162,217.7688,205.32,208.4140856,203,NA
"71",210.0771524,210.522976669699,221.51,228.023384705638,224.198948,230.1153,229.4386433,231.9475051,215.3365,224.705,199,226.2894,215.9374,205.94,230.111583,203,NA
"72",219.1441315,229.790171727203,225.49,230.500518880105,227.3953567,235.3225,218.4674926,226.0570396,203.7723,232.709,210,225.9874,213.7284,206.28,232.3385824,201,NA
"73",212.8456505,236.547572641521,217.4,223.918929912414,226.8482921,246.2622,232.5141452,227.7514152,221.3716,239.145,211,219.1969,209.7285,207.53,236.9055504,201,NA
"74",212.8278192,213.08165543449,222.37,227.502961979385,223.8258978,224.4835,215.4688996,227.1851885,215.0777,213.153,211,222.5919,205.8365,206.66,218.9535558,203,NA
"75",212.6888223,202.183461689446,219.42,219.089063064047,223.1675712,225.6273,222.8155756,216.4952047,188.0281,220.568,203,216.6164,211.7368,203.34,226.3855895,200,NA
"76",213.3469353,217.245704305077,227.63,233.063407956044,227.0272673,222.7136,230.3809435,222.1787465,203.6025,234.045,204,235.9062,198.2785,202.52,229.6407969,202,NA
"77",211.5916295,211.938137255296,213.04,217.503145697453,217.8752799,217.0942,220.8199882,214.2139714,191.8553,212.338,203,213.7883,183.7285,206.51,216.5308612,203,NA
"78",208.0399562,224.521506748631,219.37,223.865727960642,210.6451989,211.0385,231.4746536,208.7993764,211.4092,232.354,196,208.6074,220.7495,203.74,224.9430714,202,NA
"79",212.4185301,207.574195230393,225.3,221.90512648554,225.8916182,235.7135,215.9350693,218.8624813,205.2499,220.22,210,218.2853,219.6285,205.7,211.356421,201,NA
"80",211.3377827,199.467002009314,218.8,220.277423732415,222.6788484,235.2365,221.8729143,210.8392477,199.9437,212.358,202,213.7641,211.7285,204.9,210.6839699,202,NA
"81",212.3540066,213.967985793415,227.53,231.412594582656,220.9503339,220.5275,227.3142364,222.4225193,226.1371,230.422,193,225.2437,199.6274,205.78,230.0846199,204,NA
"82",211.337118,200.475224923599,214.64,214.672272276815,211.5080985,210.5865,226.7014016,211.5715689,210.0193,213.872,202,211.4391,210.7285,204.53,204.2829327,202,NA
"83",216.7710778,211.078440658776,219.37,222.368280499608,230.1950252,227.9652,213.8916546,225.3974823,187.9614,217.637,213,220.5952,217.7284,206.96,218.9668855,202,NA
