"","Date","Away","Home","Actual","Total_1","Total_2","Total_4","Total_5a","Total_5b","Total_5c","Total_6","Total_7","Total_8","Total_9","Total_11","Total_12","Total_13","Total_14","Total_15","Total_16","Total_17"
"1","4/4/2023","Toronto Raptors","Charlotte Hornets",220,220.729616,224.9796393,208.739,222.2283528,223,227.14,223.4,228.5718652,223.2729,225.1150729,224.73,235.3909541,229.322,226.1395,227.7273576,211.1584007,224
"2","4/4/2023","Milwaukee Bucks","Washington Wizards",268,223.3963341,230.3048899,217.343,230.6615482,227,231.7,227.94,236.2978275,227.5704,233.0589937,232.09,259.031259,214.4411,230.4187,233.7369304,242.688037,231
"3","4/4/2023","Cleveland Cavaliers","Orlando Magic",230,219.2075612,224.4635151,217.641,220.2322771,219,225.905,218.85,222.5324662,221.4444,224.2654496,225.52,241.9172794,200.6655,223.7182,221.1995406,230.2266644,224
"4","4/4/2023","Miami Heat","Detroit Pistons",223,219.288439,220.3966115,201.132,218.629394,223,222.68,206.49,223.1280609,214.3953,230.2383363,215.05,226.2101741,214.041,223.7384,218.8291069,219.6990988,229
"5","4/4/2023","Minnesota Timberwolves","Brooklyn Nets",209,220.1859444,229.7037619,221.588,228.6555202,229,226.725,230.55,233.9333374,224.1203,216.1391511,235.64,252.4202029,215.1636,226.1888,232.6101772,226.369829,224
"6","4/4/2023","Denver Nuggets","Houston Rockets",227,220.0825612,227.4518559,214,224.8027086,229,225.39,230.14,231.823489,222.7159,223.2355204,226.8,239.9648437,213.0898,228.0247,229.4277933,227.3654183,229
"7","4/4/2023","Portland Trail Blazers","Memphis Grizzlies",228,225.1256593,230.5168625,218.572,231.43416,226,228.12,225.32,235.6996084,219.1212,237.5148329,227.03,260.6619006,229.502,230.5419,232.2639524,236.7550545,227
"8","4/4/2023","Sacramento Kings","New Orleans Pelicans",224,230.0121194,235.3923258,220.108,228.534858,240,230.75,225.43,238.1129572,227.2726,233.1315046,232.64,261.6678599,232.3014,234.364,240.685971,237.2792182,225
"9","4/4/2023","Boston Celtics","Philadelphia 76ers",204,229.4626803,233.3157844,214.001,228.1779666,224,228.08,211.21,231.1222579,221.6233,231.7128769,226.51,302.7185903,256.7623,225.919,230.3199968,231.6937855,230
"10","4/4/2023","Atlanta Hawks","Chicago Bulls",228,222.3676937,231.6542883,219.153,231.5530046,230,232.305,224.58,237.9939909,224.1157,227.4965646,236.89,258.0812866,195.1588,232.2977,228.6176715,230.0146098,230
